PLAYER_NAME,FIRST_NAME,LAST_NAME,PLAYER_ID
Jeff Teague,Jeff,Teague,201952
Lou Williams,Lou,Williams,101150
Paul Millsap,Paul,Millsap,200794
DeMarre Carroll,DeMarre,Carroll,201960
Pero Antic,Pero,Antic,203544
Shelvin Mack,Shelvin,Mack,202714
John Jenkins,John,Jenkins,203098
Gustavo Ayon,Gustavo,Ayon,202970
Al Horford,Al,Horford,201143
Dennis Schroder,Dennis,Schroder,203471
Cartier Martin,Cartier,Martin,201858
Kyle Korver,Kyle,Korver,2594
Mike Muscala,Mike,Muscala,203488
Mike Scott,Mike,Scott,203118
Elton Brand,Elton,Brand,1882
Avery Bradley,Avery,Bradley,202340
Keith Bogans,Keith,Bogans,2586
Jared Sullinger,Jared,Sullinger,203096
Jeff Green,Jeff,Green,201145
Rajon Rondo,Rajon,Rondo,200765
Jerryd Bayless,Jerryd,Bayless,201573
Chris Johnson,Chris,Johnson,203187
Phil Pressey,Phil,Pressey,203515
Brandon Bass,Brandon,Bass,101138
Vitor Faverani,Vitor,Faverani,203543
Kelly Olynyk,Kelly,Olynyk,203482
Kris Humphries,Kris,Humphries,2743
Gerald Wallace,Gerald,Wallace,2222
Joel Anthony,Joel,Anthony,201202
Chris Babb,Chris,Babb,203569
CJ Miles,CJ,Miles,101139
Jarrett Jack,Jarrett,Jack,101127
Kyrie Irving,Kyrie,Irving,202681
Dion Waiters,Dion,Waiters,203079
Matthew Dellavedova,Matthew,Dellavedova,203521
Luol Deng,Luol,Deng,2736
Sergey Karasev,Sergey,Karasev,203508
Tristan Thompson,Tristan,Thompson,202684
Anthony Bennett,Anthony,Bennett,203461
Anderson Varejao,Anderson,Varejao,2760
Scotty Hopson,Scotty,Hopson,203816
Carrick Felix,Carrick,Felix,203467
Spencer Hawes,Spencer,Hawes,201150
Alonzo Gee,Alonzo,Gee,202087
Tyler Zeller,Tyler,Zeller,203092
Al-Farouq Aminu,Al-Farouq,Aminu,202329
Tyreke Evans,Tyreke,Evans,201936
Darius Miller,Darius,Miller,203121
Anthony Morrow,Anthony,Morrow,201627
Melvin Ely,Melvin,Ely,2408
Jeff Withey,Jeff,Withey,203481
Luke Babbitt,Luke,Babbitt,202337
Eric Gordon,Eric,Gordon,201569
Jrue Holiday,Jrue,Holiday,201950
Jason Smith,Jason,Smith,201160
Brian Roberts,Brian,Roberts,203148
Anthony Davis,Anthony,Davis,203076
Austin Rivers,Austin,Rivers,203085
James Southerland,James,Southerland,203480
Ryan Anderson,Ryan,Anderson,201583
Alexis Ajinca,Alexis,Ajinca,201582
Derrick Rose,Derrick,Rose,201565
Carlos Boozer,Carlos,Boozer,2430
Mike James,Mike,James,2229
Greg Smith,Greg,Smith,202962
Ronnie Brewer,Ronnie,Brewer,200758
Kirk Hinrich,Kirk,Hinrich,2550
Joakim Noah,Joakim,Noah,201149
D.J. Augustin,D.J.,Augustin,201571
Lou Amundson,Lou,Amundson,200811
Tony Snell,Tony,Snell,203503
Jimmy Butler,Jimmy,Butler,202710
Taj Gibson,Taj,Gibson,201959
Jimmer Fredette,Jimmer,Fredette,202690
Mike Dunleavy,Mike,Dunleavy,2399
Nazr Mohammed,Nazr,Mohammed,1737
Raymond Felton,Raymond,Felton,101109
Tyson Chandler,Tyson,Chandler,2199
Shawn Marion,Shawn,Marion,1890
Bernard James,Bernard,James,203108
Ricky Ledo,Ricky,Ledo,203495
Jae Crowder,Jae,Crowder,203109
Monta Ellis,Monta,Ellis,101145
Devin Harris,Devin,Harris,2734
Vince Carter,Vince,Carter,1713
Gal Mekel,Gal,Mekel,203539
Brandan Wright,Brandan,Wright,201148
Dirk Nowitzki,Dirk,Nowitzki,1717
DeJuan Blair,DeJuan,Blair,201971
Aaron Brooks,Aaron,Brooks,201166
Darrell Arthur,Darrell,Arthur,201589
Ty Lawson,Ty,Lawson,201951
Randy Foye,Randy,Foye,200751
JJ Hickson,JJ,Hickson,201581
Danilo Gallinari,Danilo,Gallinari,201568
Nate Robinson,Nate,Robinson,101126
Anthony Randolph,Anthony,Randolph,201576
Wilson Chandler,Wilson,Chandler,201163
Jan Vesely,Jan,Vesely,202686
Timofey Mozgov,Timofey,Mozgov,202389
Quincy Miller,Quincy,Miller,203113
JaVale McGee,JaVale,McGee,201580
Kenneth Faried,Kenneth,Faried,202702
Evan Fournier,Evan,Fournier,203095
Ognjen Kuzmic,Ognjen,Kuzmic,203136
Marreese Speights,Marreese,Speights,201578
Jermaine O'Neal,Jermaine,O'Neal,979
Nemanja Nedovic,Nemanja,Nedovic,203517
Andre Iguodala,Andre,Iguodala,2738
David Lee,David,Lee,101135
Klay Thompson,Klay,Thompson,202691
Andrew Bogut,Andrew,Bogut,101106
Draymond Green,Draymond,Green,203110
Steve Blake,Steve,Blake,2581
Stephen Curry,Stephen,Curry,201939
Festus Ezeli,Festus,Ezeli,203105
Harrison Barnes,Harrison,Barnes,203084
Jordan Crawford,Jordan,Crawford,202348
Hilton Armstrong,Hilton,Armstrong,200756
Isaiah Canaan,Isaiah,Canaan,203477
Patrick Beverley,Patrick,Beverley,201976
Omer Asik,Omer,Asik,201600
Jordan Hamilton,Jordan,Hamilton,202706
Terrence Jones,Terrence,Jones,203093
Jeremy Lin,Jeremy,Lin,202391
Dwight Howard,Dwight,Howard,2730
James Harden,James,Harden,201935
Omri Casspi,Omri,Casspi,201956
Donatas Motiejunas,Donatas,Motiejunas,202700
Josh Powell,Josh,Powell,2694
Chandler Parsons,Chandler,Parsons,202718
Troy Daniels,Troy,Daniels,203584
Francisco Garcia,Francisco,Garcia,101128
Robert Covington,Robert,Covington,203496
Glen Davis,Glen,Davis,201175
Darren Collison,Darren,Collison,201954
Chris Paul,Chris,Paul,101108
JJ Redick,JJ,Redick,200755
DeAndre Jordan,DeAndre,Jordan,201599
Hedo Turkoglu,Hedo,Turkoglu,2045
Jared Dudley,Jared,Dudley,201162
Jamal Crawford,Jamal,Crawford,2037
Ryan Hollins,Ryan,Hollins,200797
Matt Barnes,Matt,Barnes,2440
Reggie Bullock,Reggie,Bullock,203493
Blake Griffin,Blake,Griffin,201933
Danny Granger,Danny,Granger,101122
Willie Green,Willie,Green,2584
Nick Young,Nick,Young,201156
Jordan Farmar,Jordan,Farmar,200770
MarShon Brooks,MarShon,Brooks,202705
Ryan Kelly,Ryan,Kelly,203527
Kent Bazemore,Kent,Bazemore,203145
Xavier Henry,Xavier,Henry,202333
Chris Kaman,Chris,Kaman,2549
Steve Nash,Steve,Nash,959
Wesley Johnson,Wesley,Johnson,202325
Kendall Marshall,Kendall,Marshall,203088
Pau Gasol,Pau,Gasol,2200
Jodie Meeks,Jodie,Meeks,201975
Kobe Bryant,Kobe,Bryant,977
Jordan Hill,Jordan,Hill,201941
Robert Sacre,Robert,Sacre,203135
Toney Douglas,Toney,Douglas,201962
Chris Bosh,Chris,Bosh,2547
Dwyane Wade,Dwyane,Wade,2548
LeBron James,LeBron,James,2544
Justin Hamilton,Justin,Hamilton,203120
Michael Beasley,Michael,Beasley,201563
Rashard Lewis,Rashard,Lewis,1740
Chris Andersen,Chris,Andersen,2365
Mario Chalmers,Mario,Chalmers,201596
Greg Oden,Greg,Oden,201141
James Jones,James,Jones,2592
Norris Cole,Norris,Cole,202708
Shane Battier,Shane,Battier,2203
Ray Allen,Ray,Allen,951
Udonis Haslem,Udonis,Haslem,2617
O.J. Mayo,O.J.,Mayo,201564
Ekpe Udoh,Ekpe,Udoh,202327
Nate Wolters,Nate,Wolters,203489
Ersan Ilyasova,Ersan,Ilyasova,101141
Larry Sanders,Larry,Sanders,202336
Miroslav Raduljica,Miroslav,Raduljica,203545
Carlos Delfino,Carlos,Delfino,2568
Brandon Knight,Brandon,Knight,202688
Jeff Adrien,Jeff,Adrien,202399
Ramon Sessions,Ramon,Sessions,201196
Chris Wright,Chris,Wright,202874
Khris Middleton,Khris,Middleton,203114
Zaza Pachulia,Zaza,Pachulia,2585
John Henson,John,Henson,203089
Giannis Antetokounmpo,Giannis,Antetokounmpo,203507
Othyus Jeffers,Othyus,Jeffers,201785
Alexey Shved,Alexey,Shved,203144
Gorgui Dieng,Gorgui,Dieng,203476
Robbie Hummel,Robbie,Hummel,203133
Ricky Rubio,Ricky,Rubio,201937
Chase Budinger,Chase,Budinger,201978
J.J. Barea,J.J.,Barea,200826
Luc Mbah a Moute,Luc,Mbah a Moute,201601
Corey Brewer,Corey,Brewer,201147
Nikola Pekovic,Nikola,Pekovic,201593
Shabazz Muhammad,Shabazz,Muhammad,203498
Kevin Martin,Kevin,Martin,2755
Ronny Turiaf,Ronny,Turiaf,101142
Dante Cunningham,Dante,Cunningham,201967
Kevin Love,Kevin,Love,201567
Andray Blatche,Andray,Blatche,101154
Mason Plumlee,Mason,Plumlee,203486
Kevin Garnett,Kevin,Garnett,708
Alan Anderson,Alan,Anderson,101187
Joe Johnson,Joe,Johnson,2207
Deron Williams,Deron,Williams,101114
Marcus Thornton,Marcus,Thornton,201977
Brook Lopez,Brook,Lopez,201572
Marquis Teague,Marquis,Teague,203104
Jorge Gutierrez,Jorge,Gutierrez,203268
Shaun Livingston,Shaun,Livingston,2733
Mirza Teletovic,Mirza,Teletovic,203141
Paul Pierce,Paul,Pierce,1718
Andrei Kirilenko,Andrei,Kirilenko,1905
Jason Collins,Jason,Collins,2215
Shane Larkin,Shane,Larkin,203499
Jose Calderon,Jose,Calderon,101181
Wayne Ellington,Wayne,Ellington,201961
